"","lon","lat","HUNDRED_BLOCK","count","address"
"112",-122.8093493,49.0584007,"3100 KING GEORGE BLVD",132,"3100 KING GEORGE BLVD Surrey"
"113",-122.8060853,49.193449,"10500 150TH ST",131,"10500 150TH ST Surrey"
"114",-122.8454059,49.1842491,"13600 100TH AVE",131,"13600 100TH AVE Surrey"
"115",-122.8679714,49.1625474,"128TH ST / 88TH AVE",130,"128TH ST / 88TH AVE Surrey"
"116",-122.8511306,49.1987038,"13400 108TH AVE",130,"13400 108TH AVE Surrey"
"117",-122.8508103,49.1974778,"10700 UNIVERSITY DR",129,"10700 UNIVERSITY DR Surrey"
"118",-122.8009815,49.1914353,"15200 104TH AVE",129,"15200 104TH AVE Surrey"
"119",-122.8121026,49.1842028,"10000 148TH ST",128,"10000 148TH ST Surrey"
"120",-122.8576432,49.1090612,"4800 131A ST",126,"4800 131A ST Surrey"
"121",-122.8453711,49.1878884,"102ND AVE / KING GEORGE BLVD",125,"102ND AVE / KING GEORGE BLVD Surrey"
"122",-122.876241,49.1512229,"12500 82ND AVE",125,"12500 82ND AVE Surrey"
"123",-122.853656,49.1987447,"13300 108TH AVE",125,"13300 108TH AVE Surrey"
"124",-122.8902492,49.1371264,"7400 120TH ST",125,"7400 120TH ST Surrey"
"125",-122.8124332,49.1914609,"14800 104TH AVE",124,"14800 104TH AVE Surrey"
"126",-122.7631478,49.150807,"16600 FRASER HWY",123,"16600 FRASER HWY Surrey"
"127",-122.8258725,49.1914725,"14300 104TH AVE",121,"14300 104TH AVE Surrey"
"128",-122.8027047,49.0350541,"1800 SOUTHMERE CRES E",121,"1800 SOUTHMERE CRES E Surrey"
"129",-122.8675194,49.0312789,"12800 16TH AVE",120,"12800 16TH AVE Surrey"
"130",-122.7846388,49.0492481,"2700 158TH ST",120,"2700 158TH ST Surrey"
"131",-122.8675723,49.135535,"7300 128TH ST",120,"7300 128TH ST Surrey"
"132",-122.8395374,49.1842092,"13800 100TH AVE",119,"13800 100TH AVE Surrey"
"133",-122.8385052,49.1785949,"13800 LAUREL DR",119,"13800 LAUREL DR Surrey"
"134",-122.7324348,49.1112896,"17700 60TH AVE",118,"17700 60TH AVE Surrey"
"135",-122.8455115,49.1313275,"7100 KING GEORGE BLVD",118,"7100 KING GEORGE BLVD Surrey"
"136",-122.8618301,49.140979,"13000 76TH AVE",117,"13000 76TH AVE Surrey"
"137",-123.3870207,48.48159,"HWY 17 / 104TH AVE",117,"HWY 17 / 104TH AVE Surrey"
"138",-122.8674175,49.2062626,"12700 KING GEORGE BLVD",116,"12700 KING GEORGE BLVD Surrey"
"139",-122.8009848,49.1915254,"152ND ST / 104TH AVE",116,"152ND ST / 104TH AVE Surrey"
"140",-122.8011536,49.0365654,"1900 152ND ST",116,"1900 152ND ST Surrey"
"141",-122.8423757,49.0635489,"13700 CRESCENT RD",115,"13700 CRESCENT RD Surrey"
"142",-122.6825498,49.1079033,"19500 LANGLEY BPS",115,"19500 LANGLEY BPS Surrey"
"143",-122.8123498,49.1768133,"9600 148TH ST",115,"9600 148TH ST Surrey"
"144",-122.8344448,49.178799,"140TH ST / FRASER HWY",114,"140TH ST / FRASER HWY Surrey"
"145",-122.8459218,49.173685,"9400 KING GEORGE BLVD",114,"9400 KING GEORGE BLVD Surrey"
"146",-122.7350987,49.118726,"17600 64TH AVE",113,"17600 64TH AVE Surrey"
"147",-122.7934881,49.1630471,"88TH AVE / FRASER HWY",113,"88TH AVE / FRASER HWY Surrey"
"148",-122.8019298,49.19509,"10600 151A ST",112,"10600 151A ST Surrey"
"149",-122.848655,49.1767697,"13500 96TH AVE",112,"13500 96TH AVE Surrey"
"150",-122.8565405,49.184382,"10000 132ND ST",111,"10000 132ND ST Surrey"
"151",-122.7979554,49.1884328,"15300 102A AVE",111,"15300 102A AVE Surrey"
"152",-122.8678486,49.1410308,"128TH ST / 76TH AVE",110,"128TH ST / 76TH AVE Surrey"
"153",-122.7752171,49.0463375,"2400 161A ST",110,"2400 161A ST Surrey"
"154",-122.8826545,49.0586742,"3100 MCBRIDE AVE",110,"3100 MCBRIDE AVE Surrey"
"155",-122.8679566,49.1338247,"72ND AVE / 128TH ST",110,"72ND AVE / 128TH ST Surrey"
"156",-122.8452331,49.191554,"KING GEORGE BLVD / 104TH AVE",110,"KING GEORGE BLVD / 104TH AVE Surrey"
"157",-122.834643,49.1627301,"140TH ST / 88TH AVE",108,"140TH ST / 88TH AVE Surrey"
"158",-122.8041831,49.0542568,"2900 KING GEORGE BLVD",108,"2900 KING GEORGE BLVD Surrey"
