"","lon","lat"
"767",-122.8806897,49.1991188
"768",-122.8568797,49.1699346
"769",-122.8513795,49.1770442
"770",-122.8457395,49.1481486
"771",-122.8184266,49.1337352
"772",-122.8123161,49.045677
"773",-122.7957292,49.1913024
"774",-122.789804,49.184357
"775",-122.8053019,49.0311849
"776",-122.7667776,49.0447262
"777",-122.7565282,49.1628077
"778",-122.6933297,49.1222039
"779",-122.8570165,49.135342
"780",-122.7738564,49.0435864
"781",-122.7797168,49.0398327
"782",-122.8218245,49.0778666
"783",-122.8567768,49.1082609
"784",-122.8873942,49.1192523
"785",-122.6814249,49.1194821
"786",-122.7126571,49.1188094
"787",-122.8622954,49.1338647
"788",-122.834454,49.133685
"789",-122.851205,49.142739
"790",-122.8568155,49.1500937
"791",-122.7789581,49.1768624
"792",-122.801188,49.0517656
"793",-122.8825872,49.1992718
"794",-122.8902321,49.1906095
"795",-122.850773,49.1988523
"796",-122.8564806,49.1989606
"797",-122.8426951,49.1987827
"798",-122.8972328,49.1916054
"799",-122.8846385,49.1995358
"800",-122.8346339,49.1688688
"801",-122.826617,49.138174
"802",-122.8283561,49.1765698
"803",-76.2279661,44.9909048
"804",-122.801216,49.1519036
"805",-122.8012002,49.17011
"806",-122.7954285,49.0490799
"807",-122.7972302,49.1665032
"808",-122.7842228,49.1577259
"809",-122.7224951,49.0164548
"810",-122.698751,49.1770023
"811",-122.6962032,49.1003733
"812",-122.6851119,49.176804
"813",-122.7677798,49.0452169
"814",-122.8009881,49.0474148
"815",-122.8360758,49.1082946
"816",-122.7348424,49.1115243
"817",-122.7014565,49.124526
"818",-122.8565062,49.140064
"819",-122.8567971,49.1409403
"820",-122.8843496,49.1445718
"821",-122.8679958,49.1554236
"822",-122.8040093,49.1629213
"823",-122.8577476,49.1639168
"824",-122.8458029,49.165054
"825",-122.845944,49.1746667
"826",-122.8871448,49.1321217
"827",-122.8679552,49.1772312
"828",-122.853866,49.1780622
"829",-122.8454694,49.1795846
"830",-122.8507709,49.1989287
"831",-123.3926916,48.5533773
"832",-122.8006331,49.1989
"833",-122.881379,49.198412
"834",-122.87923,49.177161
"835",-122.8680126,49.1589677
"836",-122.8663864,49.1632708
"837",-122.8564793,49.1876667
"838",-122.8288047,49.1191654
"839",-122.8204866,49.1260696
"840",-122.8037914,49.1766393
"841",-122.801292,49.0637504
"842",-122.783153,49.1480791
"843",-122.7785156,49.1893678
"844",-122.6934579,49.1297915
"845",-122.6904447,49.1809779
"846",-122.8011485,49.045672
"847",-122.7978934,49.0490954
"848",-122.8679536,49.108177
"849",-122.8398999,49.1139678
"850",-122.8121889,49.119169
"851",-122.8004437,49.1282468
"852",-122.7347706,49.1480288
"853",-122.8346087,49.1719549
"854",-122.8565677,49.1735432
"855",-122.6982894,49.174031
"856",-122.8641039,49.1770821
"857",-122.7125486,49.1287394
"858",-122.7018242,49.1237612
"859",-122.8456608,49.144449
"860",-122.8676191,49.1844672
"861",-122.848401,49.1864648
"862",-122.8709558,49.1914514
"863",-122.8365592,49.1930786
